2021-11-23,pa,tv,www,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,en100,en100,en100,soc,ml,ml,tv,ap,pw,pw,www,www,sl,sl,sl,ml,ml,ee111,ee111,ee111,ee111,ee111,ee111,ee111,ee111,ee111,ee111
2021-11-24,soc,ml,soc,tv,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,www,ml,ml,pw,pw,pw,ma6,ma6,ma6,ma6,ma6,ma6,ma6,ma6,br,sk8,sk8,sk8,sk8,sk8,sk8,sk8,pw,soc
2021-11-25,soc,soc,soc,ml,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,ml,ml,ml,br,pa,pa,pa,pa,pa,sl,sl,ml,ml,ml,ml,soc,soc,soc,soc,soc,soc,soc,soc
2021-11-26,soc,tv,tv,soc,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,www,br,ml,soc,soc,soc,ex,sl,sl,sl,www,www,www,ma6,tv,ma6,pa,pa,ee111,cl,cl,soc,soc,soc
2021-11-27,soc,tv,tv,tv,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,br,ml,soc,soc,www,ca,ca,ca,ca,ca,www,soc,ex,tv,soc,ml,www,en100,ee111,www,br
2021-11-28,www,www,sl,sl,sl,www,cs156,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,ap,www,www,www,www,ml,www,me13,me13,me13,me13,www,br,soc,soc,ml,pw,tv,tv,ln,www,www,www,soc,soc,www,www,ln
2021-11-29,tv,tv,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,br,pw,ex,ex,ex,soc,ml,ap,pw,www,www,sl,sl,sl,rt,rt,rt,soc,ml,www,www,www,www,www,www,www,tv,tv,tv
2021-11-30,soc,soc,soc,soc,soc,soc,soc,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,en100,en100,en100,soc,soc,ml,www,me13,me13,pw,soc,sl,sl,sl,sl,ex,ex,ml,tv,tv,tv,tv,ml,soc,br,tv,br
2021-12-01,br,br,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,soc,soc,www,www,www,ml,ml,pw,ap,ap,pw,ap,pw,ex,www,ml,tv,tv,tv,tv,tv,pw,pw,www,br,en100,pw,pw
2021-12-02,pw,ml,ml,tv,tv,tv,tv,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,br,sl,sl,sl,sl,sl,br,ml,ml,me13,pw,pw,me13,soc,rt,rt,rt,ml,pw,pw,tv,tv,tv,tv,soc,soc,tv,soc,www
2021-12-03,www,br,tv,cs156,cs156,cs156,cs156,cs156,pa,pa,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,ml,ml,tv,tv,tv,tv,tv,tv,tv,tv,soc,soc,soc,soc,soc,soc,ap,soc,br,soc,soc,soc
2021-12-04,soc,soc,soc,soc,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,br,ml,tv,www,soc,www,pw,en100,en100,www,ml,soc,pw,pw,sk8,sk8,sk8,sk8,soc,www,tv,tv
2021-12-05,soc,www,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,ml,ml,ml,soc,soc,soc,soc,tv,sl,sl,sl,www,www,www,br,ml,ml,soc,www,ee111,tv,ee111
2021-12-06,ee111,ee111,ml,ml,tv,soc,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,br,ma6,ma6,pw,ml,pw,pw,pw,me13,sl,sl,sl,ex,ml,ee111,ee111,ee111,ee111,ee111,ee111,ee111,www,www,soc,soc
2021-12-07,ml,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,www,br,ml,tv,me13,br,cl,www,tv,www,ma6,soc,sl,sl,www,soc
2021-12-08,soc,soc,soc,soc,soc,www,www,tv,tv,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,br,me13,me13,me13,me13,me13,me13,me13,me13,me13,ml,soc,soc,ml,www,www,www,sl,sl,sl,sl
2021-12-09,www,ex,ml,soc,tv,www,www,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,br,ml,me13,me13,me13,me13,me13,me13,soc,soc,soc,ml,www,sl,sl,www,tv,www,www,www,www,www,www
2021-12-10,soc,soc,soc,soc,soc,soc,soc,soc,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,pw,www,ma6,ma6,ma6,ma6,ma6,ex,ma6,ma6,ma6,www,tv,sl,ml,www,www,www,www,www,sl,sl,sl,sl,www
